,SiteEnergyUseWN(kBtu),TotalGHGEmissions,log-SiteEnergyUseWN(kBtu),log-TotalGHGEmissions
3837,4331227.5,99.39,15.281361777983067,4.609062600703435
3838,2027196.0,13.74,14.5221646086742,2.6905648867611904
3839,116642.5,2.69,11.666877553650998,1.3056264580524357
3840,652245.5,4.21,13.38817783694395,1.6505798557652755
3841,2171473.5,39.77,14.590916987853294,3.707946516831162
3842,661339.375,4.39,13.402023925783611,1.6845453849209058
3843,493000.0,3.44,13.108266481420335,1.4906543764441333
3844,3098383.5,21.24,14.946391404588189,3.1018924693823817
3845,1481688.75,62.05,14.208693717443264,4.143928062410929
3846,2835357.0,112.34,14.857678765831123,4.730392150741473
3847,3130401.5,125.42,14.956672148498006,4.8396096970441524
3848,3182794.5,101.31,14.973270456635076,4.6280074198908485
3849,3161573.5,110.66,14.966580720966721,4.715458539882214
3850,1842664.25,11.88,14.426723586947924,2.5556757206762075
3851,727703.5,5.07,13.497650338183036,1.803358605071407
3852,883783.0,5.82,13.691967967871545,1.9198594718553708
3853,1930646.125,44.51,14.473365802608742,3.8179320820285505
3854,726087.125,4.6,13.495426670737976,1.7227665977411035
3855,2251192.5,14.51,14.626971077989124,2.7414849771884473
3856,885282.8125,24.26,13.693663564669745,3.229222116922345
3857,942042.1875,6.19,13.755806399110549,1.9726911717329554
3858,2031798.375,80.15,14.524432350030517,4.396299293960601
3859,783960.625,24.93,13.572115350430485,3.255400599550573
3860,702674.8125,4.55,13.462650915782415,1.713797927758343
3861,632190.5,4.2,13.356947633560962,1.6486586255873816
3862,1079785.375,42.1,13.892273778609294,3.763522997109702
3863,1427385.5,9.16,14.17135570771902,2.318458442150336
3864,573120.5,3.74,13.258853015103991,1.556037135706985
3865,756967.125,4.74,13.53707642453174,1.747459210331475
3866,2275712.0,24.31,14.637803967859007,3.2311995745570328
3867,1056898.5,6.85,13.870850179915672,2.060513531794317
3868,3611072.25,145.21,15.099515585293398,4.985043944429346
3869,6474877.5,250.84,15.683440400895057,5.528793965229038
3870,1240226.25,8.08,14.030805186919066,2.206074192613202
3871,1815642.75,22.26,14.411950645991466,3.1467351470905185
3872,2218827.5,16.13,14.612489911861685,2.8408313123360287
3873,721589.625,4.73,13.489213255683849,1.7457155307266483
3874,713532.8125,4.68,13.477985104404766,1.7369512327330598
3875,2489579.5,38.41,14.727624780351988,3.6740195912069122
3876,954662.8125,6.28,13.769114528690373,1.9851308622085946
3877,1792023.375,38.57,14.39885647454504,3.678071255397333
3878,2878751.5,114.63,14.872867598549135,4.75039543814087
3879,2730100.25,91.53,14.81984925438549,4.527532916260939
3880,744588.875,4.94,13.520588842423386,1.7817091333745536
3881,854428.375,5.93,13.65818912744912,1.9358598132018119
3882,702936.0,4.67,13.463022550845333,1.7351891177396608
3883,928400.6875,6.26,13.741219771024024,1.9823798288367047
3884,1652909.125,34.3,14.318048004484119,3.563882963939251
3885,1316047.25,34.48,14.090144054329025,3.5689691574413787
3886,898766.125,6.03,13.708779242077867,1.9501867058225735
3887,1298705.875,8.3,14.076879615839463,2.2300144001592104
3888,711657.5,4.72,13.475353440501074,1.7439688053917064
3889,827859.625,5.5,13.626600091904082,1.8718021769015913
3890,1825405.25,12.13,14.41731312296614,2.574899688314705
3891,730658.3125,4.81,13.501702573322158,1.7595805708638197
3892,1545004.5,11.71,14.250538028178196,2.542389085201363
3893,3345715.5,25.59,15.023191428905811,3.2805352052549286
3894,1006989.688,7.07,13.822476924388827,2.0881534822818573
3895,1612979.5,45.08,14.293594267759627,3.830379016387636
3896,1474822.75,61.25,14.204049049090953,4.131158535344817
3897,3244258.25,138.31,14.992397607793686,4.936701665718133
3898,1032597.375,25.47,13.847588877728985,3.27601201623901
